Date,Open,High,Low,Close,Adj Close,Volume
2024-03-06,414.459991,414.459991,414.459991,414.459991,414.459991,0
2024-03-07,417.230011,417.230011,417.230011,417.230011,417.230011,0
2024-03-08,418.339996,418.339996,418.339996,418.339996,418.339996,0
2024-03-11,414.660004,414.660004,414.660004,414.660004,414.660004,0
2024-03-12,415.510010,415.510010,415.510010,415.510010,415.510010,0
2024-03-13,420.489990,420.489990,420.489990,420.489990,420.489990,0
2024-03-14,420.250000,420.250000,420.250000,420.250000,420.250000,0
2024-03-15,420.459991,420.459991,420.459991,420.459991,420.459991,0
2024-03-18,418.079987,418.079987,418.079987,418.079987,418.079987,0
2024-03-19,419.529999,419.529999,419.529999,419.529999,419.529999,0
2024-03-20,422.089996,422.089996,422.089996,422.089996,422.089996,0
2024-03-21,423.440002,423.440002,423.440002,423.440002,423.440002,0
2024-03-22,428.559998,428.559998,428.559998,428.559998,428.559998,0
2024-03-25,425.679993,425.679993,425.679993,425.679993,425.679993,0
2024-03-26,424.940002,424.940002,424.940002,424.940002,424.940002,0
2024-03-27,425.929993,425.929993,425.929993,425.929993,425.929993,0
2024-03-28,427.739990,427.739990,427.739990,427.739990,427.739990,0
2024-04-02,425.869995,425.869995,425.869995,425.869995,425.869995,0
2024-04-03,422.070007,422.070007,422.070007,422.070007,422.070007,0
2024-04-04,420.230011,420.230011,420.230011,420.230011,420.230011,0
2024-04-05,415.980011,415.980011,415.980011,415.980011,415.980011,0
2024-04-08,420.769989,420.769989,420.769989,420.769989,420.769989,0
2024-04-09,418.589996,418.589996,418.589996,418.589996,418.589996,0
2024-04-10,418.679993,418.679993,418.679993,418.679993,418.679993,0
2024-04-11,419.000000,419.000000,419.000000,419.000000,419.000000,0
2024-04-12,423.549988,423.549988,423.549988,423.549988,423.549988,0
2024-04-15,419.679993,419.679993,419.679993,419.679993,419.679993,0
2024-04-16,414.779999,414.779999,414.779999,414.779999,414.779999,0
2024-04-17,415.179993,415.179993,415.179993,415.179993,415.179993,0
2024-04-18,412.350006,412.350006,412.350006,412.350006,412.350006,0
2024-04-19,411.190002,411.190002,411.190002,411.190002,411.190002,0
2024-04-22,412.739990,412.739990,412.739990,412.739990,412.739990,0
2024-04-23,416.450012,416.450012,416.450012,416.450012,416.450012,0
2024-04-24,417.230011,417.230011,417.230011,417.230011,417.230011,0
2024-04-25,414.250000,414.250000,414.250000,414.250000,414.250000,0
2024-04-26,415.239990,415.239990,415.239990,415.239990,415.239990,0
2024-04-29,417.489990,417.489990,417.489990,417.489990,417.489990,0
2024-04-30,416.829987,416.829987,416.829987,416.829987,416.829987,0
2024-05-01,413.380005,413.380005,413.380005,413.380005,413.380005,0
2024-05-02,411.739990,411.739990,411.739990,411.739990,411.739990,0
2024-05-03,413.190002,413.190002,413.190002,413.190002,413.190002,0
2024-05-07,422.359985,422.359985,422.359985,422.359985,422.359985,0
2024-05-08,427.010010,427.010010,427.010010,427.010010,427.010010,0
2024-05-09,425.440002,425.440002,425.440002,425.440002,425.440002,0
2024-05-10,427.730011,427.730011,427.730011,427.730011,427.730011,0
2024-05-13,427.779999,427.779999,427.779999,427.779999,427.779999,0
2024-05-14,426.239990,426.239990,426.239990,426.239990,426.239990,0
2024-05-15,425.600006,425.600006,425.600006,425.600006,425.600006,0
2024-05-16,428.690002,428.690002,428.690002,428.690002,428.690002,0
2024-05-17,428.540009,428.540009,428.540009,428.540009,428.540009,0
2024-05-20,428.040009,428.040009,428.040009,428.040009,428.040009,0
2024-05-21,426.950012,426.950012,426.950012,426.950012,426.950012,0
2024-05-22,425.579987,425.579987,425.579987,425.579987,425.579987,0
2024-05-23,426.470001,426.470001,426.470001,426.470001,426.470001,0
2024-05-24,424.739990,424.739990,424.739990,424.739990,424.739990,0
2024-05-28,424.220001,424.220001,424.220001,424.220001,424.220001,0
2024-05-29,422.350006,422.350006,422.350006,422.350006,422.350006,0
2024-05-30,421.149994,421.149994,421.149994,421.149994,421.149994,0
2024-05-31,419.829987,419.829987,419.829987,419.829987,419.829987,0
2024-06-03,421.880005,421.880005,421.880005,421.880005,421.880005,0
2024-06-04,420.809998,420.809998,420.809998,420.809998,420.809998,0
2024-06-05,423.760010,423.760010,423.760010,423.760010,423.760010,0
2024-06-06,428.390015,428.390015,428.390015,428.390015,428.390015,0
2024-06-07,426.260010,426.260010,426.260010,426.260010,426.260010,0
2024-06-10,425.809998,425.809998,425.809998,425.809998,425.809998,0
2024-06-11,425.380005,425.380005,425.380005,425.380005,425.380005,0
2024-06-12,425.260010,425.260010,425.260010,425.260010,425.260010,0
2024-06-13,427.940002,427.940002,427.940002,427.940002,427.940002,0
2024-06-14,426.730011,426.730011,426.730011,426.730011,426.730011,0
2024-06-17,428.600006,428.600006,428.600006,428.600006,428.600006,0
2024-06-18,431.079987,431.079987,431.079987,431.079987,431.079987,0
2024-06-19,430.429993,430.429993,430.429993,430.429993,430.429993,0
2024-06-20,432.489990,432.489990,432.489990,432.489990,432.489990,0
2024-06-21,433.320007,433.320007,433.320007,433.320007,433.320007,0
2024-06-24,433.779999,433.779999,433.779999,433.779999,433.779999,0
2024-06-25,430.750000,430.750000,430.750000,430.750000,430.750000,0
2024-06-26,432.709991,432.709991,432.709991,432.709991,432.709991,0
2024-06-27,432.690002,432.690002,432.690002,432.690002,432.690002,0
2024-06-28,432.309998,432.309998,432.309998,432.309998,432.309998,0
2024-07-01,429.829987,429.829987,429.829987,429.829987,429.829987,0
2024-07-02,428.089996,428.089996,428.089996,428.089996,428.089996,0
2024-07-03,430.649994,430.649994,430.649994,430.649994,430.649994,0
2024-07-04,430.799988,430.799988,430.799988,430.799988,430.799988,0
2024-07-05,430.429993,430.429993,430.429993,430.429993,430.429993,0
2024-07-08,431.429993,431.429993,431.429993,431.429993,431.429993,0
2024-07-09,429.980011,429.980011,429.980011,429.980011,429.980011,0
2024-07-10,429.190002,429.190002,429.190002,429.190002,429.190002,0
2024-07-11,430.459991,430.459991,430.459991,430.459991,430.459991,0
2024-07-12,428.589996,428.589996,428.589996,428.589996,428.589996,0
2024-07-15,431.609985,431.609985,431.609985,431.609985,431.609985,0
2024-07-16,430.329987,430.329987,430.329987,430.329987,430.329987,0
2024-07-17,429.440002,429.440002,429.440002,429.440002,429.440002,0
2024-07-18,426.880005,426.880005,426.880005,426.880005,426.880005,0
2024-07-19,426.209991,426.209991,426.209991,426.209991,426.209991,0
2024-07-22,426.570007,426.570007,426.570007,426.570007,426.570007,0
2024-07-23,431.350006,431.350006,431.350006,431.350006,431.350006,0
2024-07-24,429.660004,429.660004,429.660004,429.660004,429.660004,0
2024-07-25,421.380005,421.380005,421.380005,421.380005,421.380005,0
2024-07-26,422.700012,422.700012,422.700012,422.700012,422.700012,0
2024-07-29,423.980011,423.980011,423.980011,423.980011,423.980011,0
2024-07-30,424.739990,424.739990,424.739990,424.739990,424.739990,0
2024-07-31,426.230011,426.230011,426.230011,426.230011,426.230011,0
2024-08-01,431.559998,431.559998,431.559998,431.559998,431.559998,0
2024-08-02,427.670013,427.670013,427.670013,427.670013,427.670013,0
2024-08-05,421.309998,421.309998,421.309998,421.309998,421.309998,0
2024-08-06,416.750000,416.750000,416.750000,416.750000,416.750000,0
2024-08-07,421.170013,421.170013,421.170013,421.170013,421.170013,0
2024-08-08,418.339996,418.339996,418.339996,418.339996,418.339996,0
2024-08-09,423.320007,423.320007,423.320007,423.320007,423.320007,0
2024-08-12,423.519989,423.519989,423.519989,423.519989,423.519989,0
2024-08-13,422.859985,422.859985,422.859985,422.859985,422.859985,0
2024-08-14,427.209991,427.209991,427.209991,427.209991,427.209991,0
2024-08-15,427.829987,427.829987,427.829987,427.829987,427.829987,0
2024-08-16,432.239990,432.239990,432.239990,432.239990,432.239990,0
2024-08-19,431.829987,431.829987,431.829987,431.829987,431.829987,0
