Date,Open,High,Low,Close,Adj Close,Volume
2023-08-21,226.800003,226.800003,226.800003,226.800003,226.768631,0
2023-08-22,229.500000,229.500000,229.500000,229.500000,229.468246,0
2023-08-23,234.000000,234.000000,234.000000,234.000000,233.967621,0
2023-08-24,233.600006,233.600006,233.600006,233.600006,233.567688,0
2023-08-25,232.600006,232.600006,232.600006,232.600006,232.567825,0
2023-08-29,235.699997,235.699997,235.699997,235.699997,235.667389,0
2023-08-30,236.399994,236.399994,236.399994,236.399994,236.367294,0
2023-08-31,238.300003,238.300003,238.300003,238.300003,238.267029,0
2023-09-01,241.500000,241.500000,241.500000,241.500000,241.466583,0
2023-09-04,244.699997,244.699997,244.699997,244.699997,244.666138,0
2023-09-05,245.399994,245.399994,245.399994,245.399994,245.366043,0
2023-09-06,247.500000,247.500000,247.500000,247.500000,247.465759,0
2023-09-07,249.500000,249.500000,249.500000,249.500000,249.465485,0
2023-09-08,246.199997,246.199997,246.199997,246.199997,246.165939,0
2023-09-11,247.100006,247.100006,247.100006,247.100006,247.065826,0
2023-09-12,251.300003,251.300003,251.300003,251.300003,251.265244,0
2023-09-13,251.199997,251.199997,251.199997,251.199997,251.165253,0
2023-09-14,255.699997,255.699997,255.699997,255.699997,255.664627,0
2023-09-15,259.200012,259.200012,259.200012,259.200012,259.164154,0
2023-09-18,null,null,null,null,null,null
2023-09-19,261.700012,261.700012,261.700012,261.700012,261.663818,0
2023-09-20,258.799988,258.799988,258.799988,258.799988,258.764191,0
2023-09-21,259.000000,259.000000,259.000000,259.000000,258.964172,0
2023-09-22,257.600006,257.600006,257.600006,257.600006,257.564362,0
2023-09-25,256.799988,256.799988,256.799988,256.799988,256.764465,0
2023-09-26,256.500000,256.500000,256.500000,256.500000,256.464508,0
2023-09-27,257.700012,257.700012,257.700012,257.700012,257.664368,0
2023-09-28,255.000000,255.000000,255.000000,255.000000,254.964722,0
2023-09-29,250.899994,250.899994,250.899994,250.899994,250.865280,0
2023-10-02,251.300003,251.300003,251.300003,251.300003,251.265244,0
2023-10-03,247.500000,247.500000,247.500000,247.500000,247.465759,0
2023-10-04,239.699997,239.699997,239.699997,239.699997,239.666840,0
2023-10-05,245.300003,245.300003,245.300003,245.300003,245.266068,0
2023-10-06,243.899994,243.899994,243.899994,243.899994,243.866257,0
2023-10-09,null,null,null,null,null,null
2023-10-10,248.800003,248.800003,248.800003,248.800003,248.765579,0
2023-10-11,248.600006,248.600006,248.600006,248.600006,248.565613,0
2023-10-12,251.300003,251.300003,251.300003,251.300003,251.265244,0
2023-10-13,248.800003,248.800003,248.800003,248.800003,248.765579,0
2023-10-16,245.899994,245.899994,245.899994,245.899994,245.865982,0
2023-10-17,247.399994,247.399994,247.399994,247.399994,247.365768,0
2023-10-18,247.199997,247.199997,247.199997,247.199997,247.165802,0
2023-10-19,245.899994,245.899994,245.899994,245.899994,245.865982,0
2023-10-20,243.800003,243.800003,243.800003,243.800003,243.766281,0
2023-10-23,241.300003,241.300003,241.300003,241.300003,241.266617,0
2023-10-24,240.399994,240.399994,240.399994,240.399994,240.366730,0
2023-10-25,243.399994,243.399994,243.399994,243.399994,243.366318,0
2023-10-26,240.399994,240.399994,240.399994,240.399994,240.366730,0
2023-10-27,243.300003,243.300003,243.300003,243.300003,243.266342,0
