Date,Open,High,Low,Close,Adj Close,Volume
2023-08-21,144.449997,144.449997,144.449997,144.449997,144.446289,0
2023-08-22,144.589996,144.589996,144.589996,144.589996,144.586288,0
2023-08-23,145.820007,145.820007,145.820007,145.820007,145.816269,0
2023-08-24,147.229996,147.229996,147.229996,147.229996,147.226227,0
2023-08-25,146.690002,146.690002,146.690002,146.690002,146.686234,0
2023-08-29,148.520004,148.520004,148.520004,148.520004,148.516190,0
2023-08-30,149.699997,149.699997,149.699997,149.699997,149.696167,0
2023-08-31,149.929993,149.929993,149.929993,149.929993,149.926147,0
2023-09-01,149.710007,149.710007,149.710007,149.710007,149.706177,0
2023-09-04,151.240005,151.240005,151.240005,151.240005,151.236130,0
2023-09-05,151.690002,151.690002,151.690002,151.690002,151.686111,0
2023-09-06,150.410004,150.410004,150.410004,150.410004,150.406158,0
2023-09-07,151.190002,151.190002,151.190002,151.190002,151.186127,0
2023-09-08,150.039993,150.039993,150.039993,150.039993,150.036148,0
2023-09-11,149.610001,149.610001,149.610001,149.610001,149.606171,0
2023-09-12,150.520004,150.520004,150.520004,150.520004,150.516159,0
2023-09-13,149.729996,149.729996,149.729996,149.729996,149.726166,0
2023-09-14,149.960007,149.960007,149.960007,149.960007,149.956161,0
2023-09-15,151.639999,151.639999,151.639999,151.639999,151.636108,0
2023-09-18,150.070007,150.070007,150.070007,150.070007,150.066162,0
2023-09-19,150.169998,150.169998,150.169998,150.169998,150.166153,0
2023-09-20,149.949997,149.949997,149.949997,149.949997,149.946152,0
2023-09-21,148.860001,148.860001,148.860001,148.860001,148.856186,0
2023-09-22,146.990005,146.990005,146.990005,146.990005,146.986237,0
2023-09-25,146.399994,146.399994,146.399994,146.399994,146.396240,0
2023-09-26,147.000000,147.000000,147.000000,147.000000,146.996231,0
2023-09-27,145.699997,145.699997,145.699997,145.699997,145.696274,0
2023-09-28,145.000000,145.000000,145.000000,145.000000,144.996277,0
2023-09-29,146.130005,146.130005,146.130005,146.130005,146.126251,0
2023-10-02,146.289993,146.289993,146.289993,146.289993,146.289001,0
2023-10-03,147.190002,147.190002,147.190002,147.190002,147.189011,0
2023-10-04,144.869995,144.869995,144.869995,144.869995,144.869019,0
2023-10-05,146.460007,146.460007,146.460007,146.460007,146.459015,0
2023-10-06,145.410004,145.410004,145.410004,145.410004,145.409027,0
2023-10-09,147.199997,147.199997,147.199997,147.199997,147.199005,0
2023-10-10,146.820007,146.820007,146.820007,146.820007,146.819016,0
2023-10-11,147.600006,147.600006,147.600006,147.600006,147.599014,0
2023-10-12,148.050003,148.050003,148.050003,148.050003,148.049011,0
2023-10-13,147.029999,147.029999,147.029999,147.029999,147.029007,0
2023-10-16,146.259995,146.259995,146.259995,146.259995,146.259003,0
2023-10-17,147.570007,147.570007,147.570007,147.570007,147.569016,0
2023-10-18,147.550003,147.550003,147.550003,147.550003,147.549011,0
2023-10-19,146.130005,146.130005,146.130005,146.130005,146.129013,0
2023-10-20,144.580002,144.580002,144.580002,144.580002,144.579025,0
2023-10-23,142.539993,142.539993,142.539993,142.539993,142.539032,0
2023-10-24,141.520004,141.520004,141.520004,141.520004,141.519058,0
2023-10-25,143.860001,143.860001,143.860001,143.860001,143.859024,0
2023-10-26,141.860001,141.860001,141.860001,141.860001,141.859039,0
2023-10-27,139.759995,139.759995,139.759995,139.759995,139.759048,0
2023-10-30,139.100006,139.100006,139.100006,139.100006,139.099075,0
2023-10-31,139.929993,139.929993,139.929993,139.929993,139.929047,0
2023-11-01,141.199997,141.199997,141.199997,141.199997,141.199051,0
2023-11-02,142.589996,142.589996,142.589996,142.589996,142.589035,0
2023-11-03,144.679993,144.679993,144.679993,144.679993,144.679016,0
2023-11-06,144.979996,144.979996,144.979996,144.979996,144.979019,0
2023-11-07,146.220001,146.220001,146.220001,146.220001,146.219009,0
2023-11-08,147.210007,147.210007,147.210007,147.210007,147.209015,0
2023-11-09,148.350006,148.350006,148.350006,148.350006,148.349014,0
2023-11-10,147.440002,147.440002,147.440002,147.440002,147.439011,0
2023-11-13,149.350006,149.350006,149.350006,149.350006,149.348999,0
2023-11-14,149.029999,149.029999,149.029999,149.029999,149.028992,0
2023-11-15,150.600006,150.600006,150.600006,150.600006,150.598999,0
2023-11-16,151.240005,151.240005,151.240005,151.240005,151.238983,0
2023-11-17,151.410004,151.410004,151.410004,151.410004,151.408981,0
2023-11-20,151.229996,151.229996,151.229996,151.229996,151.228973,0
2023-11-21,151.110001,151.110001,151.110001,151.110001,151.108978,0
2023-11-22,151.380005,151.380005,151.380005,151.380005,151.378983,0
2023-11-23,151.419998,151.419998,151.419998,151.419998,151.418976,0
2023-11-24,151.199997,151.199997,151.199997,151.199997,151.198975,0
2023-11-27,150.860001,150.860001,150.860001,150.860001,150.858978,0
2023-11-28,150.220001,150.220001,150.220001,150.220001,150.218994,0
2023-11-29,150.059998,150.059998,150.059998,150.059998,150.058990,0
2023-11-30,150.820007,150.820007,150.820007,150.820007,150.818985,0
2023-12-01,151.419998,151.419998,151.419998,151.419998,151.418976,0
2023-12-04,152.470001,152.470001,152.470001,152.470001,152.468979,0
2023-12-05,152.070007,152.070007,152.070007,152.070007,152.068985,0
2023-12-06,152.229996,152.229996,152.229996,152.229996,152.228973,0
2023-12-07,152.220001,152.220001,152.220001,152.220001,152.218979,0
2023-12-08,153.889999,153.889999,153.889999,153.889999,153.888962,0
2023-12-11,154.369995,154.369995,154.369995,154.369995,154.368958,0
2023-12-12,155.300003,155.300003,155.300003,155.300003,155.298950,0
2023-12-13,156.990005,156.990005,156.990005,156.990005,156.988953,0
2023-12-14,157.960007,157.960007,157.960007,157.960007,157.958939,0
2023-12-15,157.520004,157.520004,157.520004,157.520004,157.518936,0
2023-12-18,158.399994,158.399994,158.399994,158.399994,158.398926,0
2023-12-19,158.800003,158.800003,158.800003,158.800003,158.798935,0
2023-12-20,160.169998,160.169998,160.169998,160.169998,160.168915,0
2023-12-21,158.119995,158.119995,158.119995,158.119995,158.118927,0
2023-12-22,158.500000,158.500000,158.500000,158.500000,158.498932,0
2023-12-27,159.250000,159.250000,159.250000,159.250000,159.248932,0
2023-12-28,158.649994,158.649994,158.649994,158.649994,158.648926,0
2023-12-29,159.350006,159.350006,159.350006,159.350006,159.348938,0
2024-01-02,159.250000,159.250000,159.250000,159.250000,159.248932,0
2024-01-03,158.050003,158.050003,158.050003,158.050003,158.048935,0
2024-01-04,155.039993,155.039993,155.039993,155.039993,155.038956,0
2024-01-05,154.899994,154.899994,154.899994,154.899994,154.898956,0
2024-01-08,154.690002,154.690002,154.690002,154.690002,154.688965,0
2024-01-09,157.059998,157.059998,157.059998,157.059998,157.058945,0
2024-01-10,157.160004,157.160004,157.160004,157.160004,157.158951,0
2024-01-11,158.190002,158.190002,158.190002,158.190002,158.188934,0
2024-01-12,158.179993,158.179993,158.179993,158.179993,158.178925,0
2024-01-15,158.259995,158.259995,158.259995,158.259995,158.258926,0
2024-01-16,159.149994,159.149994,159.149994,159.149994,159.148926,0
2024-01-17,157.970001,157.970001,157.970001,157.970001,157.968933,0
2024-01-18,157.179993,157.179993,157.179993,157.179993,157.178940,0
2024-01-19,158.220001,158.220001,158.220001,158.220001,158.218933,0
2024-01-22,159.330002,159.330002,159.330002,159.330002,159.328934,0
2024-01-23,159.360001,159.360001,159.360001,159.360001,159.358932,0
2024-01-24,159.440002,159.440002,159.440002,159.440002,159.438934,0
2024-01-25,159.419998,159.419998,159.419998,159.419998,159.418930,0
2024-01-26,160.619995,160.619995,160.619995,160.619995,160.618912,0
2024-01-29,160.970001,160.970001,160.970001,160.970001,160.968918,0
2024-01-30,162.919998,162.919998,162.919998,162.919998,162.918900,0
2024-01-31,162.899994,162.899994,162.899994,162.899994,162.898895,0
2024-02-01,160.750000,160.750000,160.750000,160.750000,160.748917,0
2024-02-02,161.089996,161.089996,161.089996,161.089996,161.088913,0
2024-02-05,163.500000,163.500000,163.500000,163.500000,163.498901,0
2024-02-06,163.679993,163.679993,163.679993,163.679993,163.678894,0
2024-02-07,163.389999,163.389999,163.389999,163.389999,163.388901,0
2024-02-08,165.490005,165.490005,165.490005,165.490005,165.488892,0
2024-02-09,166.130005,166.130005,166.130005,166.130005,166.128891,0
